id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
50101939,Mysig villa med härlig trädgård nära stan,119813559,Mattias,,Hägersten-Liljeholmens,59.29714,17.96692,Entire home/apt,2500,5,0,,,1,280
50102753,A Room for you in charming Villa Stockholm.,4557965,Josefina,,Skarpnäcks,59.27991,18.11043,Private room,810,1,0,,,3,359
50111703,Fresh modern apartment in central Stockholm,349454669,Am,,Östermalms,59.3458,18.11201,Entire home/apt,2400,2,1,2021-06-06,0.67,1,365
50115383,"Mysigt radhus, perfekt för barnfamiljen!",30915410,Louise,,Hässelby-Vällingby,59.39233,17.80836,Entire home/apt,1101,5,0,,,1,0
50115476,"Very central, beautiful  1+1 apartment",404361374,Josephine,,Norrmalms,59.3407,18.04047,Entire home/apt,857,2,0,,,1,181
50115922,"Sauna, bath and a garden in beautiful Mälarhöjden!",76565001,Imelda,,Hägersten-Liljeholmens,59.29902,17.96244,Entire home/apt,600,3,4,2021-07-13,4,1,53
50128893,"Great apartment on Gärdet, central Stockholm",89148579,Josefin,,Östermalms,59.34781,18.10156,Entire home/apt,800,3,0,,,1,298
50133981,Lovely apartment in Stockholm most wonderful areas,404546180,Danni,,Kungsholmens,59.33739,18.01539,Entire home/apt,1158,3,4,2021-07-16,2.50,1,3
50134840,Söder hjärta lugnt men nära Sofo,146465698,Lennart,,Södermalms,59.31451,18.08609,Entire home/apt,800,1,5,2021-07-14,5,1,39
50144315,"Artsy one bedroom apartment, 10m  from the metro",170727856,Léa,,Skarpnäcks,59.27742,18.13008,Entire home/apt,291,3,2,2021-06-28,1.87,1,78
50147618,Beautiful apartment for 2 in the city center,141571489,Lisa,,Norrmalms,59.34587,18.04551,Entire home/apt,800,4,0,,,1,42
50155534,"Perfect apartment for a family, heart of Södermalm",7948911,Joe,,Södermalms,59.31819,18.05438,Entire home/apt,1956,1,1,2021-07-08,1,1,0
50161137,"Studio in Södermalm, central Stockholm",350471026,Viktor,,Södermalms,59.31648,18.05278,Entire home/apt,1111,2,0,,,1,73
50163144,Elegant 3 room apt in the center of Stockholm,123171910,Johanna,,Norrmalms,59.33772,18.06619,Entire home/apt,2200,2,0,,,1,43
50164384,"""Rum vid strandpromenad och badbrygga""",3115155,Ann-Kathrin,,Bromma,59.34877,17.97485,Private room,275,3,1,2021-07-14,1,1,17
50164720,70sqm Lux Apt in Stockholm City with a terrace,404851096,Robert,,Norrmalms,59.3367,18.058851,Entire home/apt,1499,2,0,,,1,280
50166699,Beautiful apartment at prime location,124369508,Mattias,,Södermalms,59.31736,18.071922,Entire home/apt,2581,6,0,,,1,12
50169384,Top floor with two big balconys,404890831,Albert,,Östermalms,59.33864,18.0845,Entire home/apt,4500,3,0,,,1,12
50170768,Stockholm Unwind,60614830,Jens,,Bromma,59.33889,17.90312,Entire home/apt,2200,5,0,,,2,54
50172503,Deluxe apartment in Hammarby Sjöstad Stockholm,49814357,Ghazwan,,Södermalms,59.30108,18.09299,Entire home/apt,1000,7,0,,,1,12
50174782,"Zen-house, w balcony, 50 m to sea + washing room",93435877,Jesse,,Bromma,59.3462,17.97283,Entire home/apt,736,2,0,,,1,90
50178541,"Centrally located guest room with double bed in Stockholm, 14 m2",201720555,Your.Rentals,,Södermalms,59.31602,18.06231,Private room,2051,1,0,,,9,358
50178785,"14 m2 cozy twin bed guest room, central location Stockholm",201720555,Your.Rentals,,Södermalms,59.31606,18.06392,Private room,2051,1,0,,,9,363
50178787,"Best location in Södermalm Stockholm, comfy guest room single bed 10m 2",201720555,Your.Rentals,,Södermalms,59.31594,18.06223,Private room,2051,1,0,,,9,0
50178793,"Best location in Stockholms Södermalm, cozy double bedroom 14 m2",201720555,Your.Rentals,,Södermalms,59.31467,18.06209,Private room,2051,1,0,,,9,364
50178796,"Detailed guest room in beautiful guesthouse Tre Små Rum Södermalm, 10m 2",201720555,Your.Rentals,,Södermalms,59.31463,18.06228,Private room,2051,1,0,,,9,0
50178833,"renovated guest room with best location in Södermalm, Stockholm, 14 m2",201720555,Your.Rentals,,Södermalms,59.31437,18.06253,Private room,2051,1,0,,,9,364
50186203,Central accommodation just by the lake,265847688,Börje,,Kungsholmens,59.31694,17.98788,Entire home/apt,1750,5,0,,,1,244
50195786,Mysig 2:a i Vasastan,405131062,Matilda,,Norrmalms,59.34625,18.03622,Entire home/apt,1000,1,0,,,1,332
50199476,"Cozy guest room with best location in Stockholm, 10m 2",201720555,Your.Rentals,,Södermalms,59.31598,18.06199,Private room,872,1,0,,,9,0
50199538,"Trendy guest room with best location in Södermalm Stockholm, 10m 2",201720555,Your.Rentals,,Södermalms,59.31423,18.06205,Private room,872,1,0,,,9,0
50199594,"Best location in Södermalm Stockholm, cozy guest room single bed 10m 2",201720555,Your.Rentals,,Södermalms,59.31626,18.06367,Private room,872,1,0,,,9,0
50205641,Härlig 1a på Kungsholmen under sommaren,289175967,Viktor,,Kungsholmens,59.32781,18.03603,Entire home/apt,478,5,1,2021-07-03,1,1,0
50206752,Centrally located apartment / Östermalm,39495112,Eleonora,,Östermalms,59.33642,18.08489,Entire home/apt,849,2,1,2021-06-16,0.86,1,7
50211123,Cozy apartment close to water and city centre,16033311,Cayza,,Hägersten-Liljeholmens,59.30795,17.99295,Entire home/apt,562,1,1,2021-07-07,1,1,6
50213738,Fin 3:a i Hammarbyhöjden uthyres under sommaren,405298096,Marie-France,,Skarpnäcks,59.29261,18.10378,Entire home/apt,501,2,2,2021-07-11,2,1,14
50222800,Gästhus i Mälarhöjden,35228543,Magnus,,Hägersten-Liljeholmens,59.29946,17.95957,Entire home/apt,1200,7,0,,,1,10
50223611,Casa Jasmine,35726048,Jasmine,,Hägersten-Liljeholmens,59.31038,17.98741,Private room,300,1,0,,,1,365
50238476,Lovely 2-bedroom apt. close to the city center,71166509,Rickard,,Enskede-Årsta-Vantörs,59.29508,18.07988,Entire home/apt,950,5,1,2021-07-13,1,1,11
50238618,Stor 3a precis vid tunnelbana och Vasaparken,326096513,Alexandra,,Norrmalms,59.34197,18.0415,Entire home/apt,1500,2,0,,,1,0
50239939,Newly renovated cozy apartment next to the station,167255054,Kentaro,,Enskede-Årsta-Vantörs,59.26169,18.04187,Entire home/apt,313,2,4,2021-07-09,4,1,1
50240132,"Stor 3:a m balkong nära strandbad,t-bana & butiker",405588009,Paula,,Södermalms,59.31471,18.04224,Entire home/apt,700,5,1,2021-07-08,1,1,36
50240615,Naturnära lägenhet i Hammarbyhöjden,22729838,Tobias,,Skarpnäcks,59.29448,18.10464,Entire home/apt,500,4,2,2021-07-13,2,1,5
50241952,Beautiful apt 10 mins to center,396593443,William,,Bromma,59.33435,17.96984,Entire home/apt,600,7,0,,,1,358
50250926,Bright Apartment in the Heart of Södermalm,257635029,Emma,,Södermalms,59.30734,18.07739,Entire home/apt,950,2,2,2021-07-12,1.82,1,15
50251139,Central & calm city apartment,9810501,Ivana,,Södermalms,59.31104,18.08415,Entire home/apt,1391,7,0,,,1,1
50253991,Mysigt stort radhus,405735203,Adrienne,,Spånga-Tensta,59.38312,17.87425,Entire home/apt,1099,7,1,2021-07-15,1,1,62
50256563,Fräsch lägenhet i naturnära Hägersten,136885038,Malin/Björn,,Hägersten-Liljeholmens,59.29136,17.98789,Entire home/apt,907,1,0,,,1,5
50257133,New Renovated Central located flat,154078251,Vinesh,,Södermalms,59.30858,18.08313,Entire home/apt,652,1,8,2021-06-24,6.15,1,0
50261040,Central and lovely apartment.,405787774,Bettina,,Rinkeby-Tensta,59.40846,17.93657,Entire home/apt,564,2,0,,,1,89
50261899,Cosy artist appartment,90785922,Oscar,,Bromma,59.33278,17.94634,Entire home/apt,655,2,0,,,1,0
50262576,House in Stockholm,385873846,Olle,,Enskede-Årsta-Vantörs,59.28945,18.06229,Entire home/apt,1400,6,0,,,1,0
50277910,"Centralt beläget rum med utsikt, del i lägenhet",4507148,Tillman,,Södermalms,59.31216,18.07454,Private room,450,2,4,2021-07-11,4,1,127
50283711,"Cozy, spacious house with sunny patio near city",11100172,Sofie,,Älvsjö,59.27899,17.98319,Entire home/apt,2300,3,0,,,1,56
50285532,Liten lägenhet med utsikt över Rålambshovsparken,401667447,Joakim,,Kungsholmens,59.32849,18.01643,Entire home/apt,649,1,3,2021-07-18,3,1,22
50295558,"Beautiful apartment, central part Stockholm city!",334767757,Måns,,Norrmalms,59.34852,18.05908,Entire home/apt,950,2,2,2021-06-22,2,1,0
50303323,Mysigt boende i Gamla Enskede med eget vardagsrum,365107413,Anna,,Enskede-Årsta-Vantörs,59.2847,18.08029,Private room,650,2,0,,,4,137
50324643,Eget rum I city.,89270782,Alexandra,,Norrmalms,59.33942,18.0588,Private room,450,7,0,,,1,365
50328979,Vindsvåning 163sqm,160398556,Fredrik,,Enskede-Årsta-Vantörs,59.2811,18.09277,Entire home/apt,2800,2,0,,,1,268
50329018,Private Apartment | Good Location In Stockholm,141186188,Arvin,,Norrmalms,59.35028,18.05798,Entire home/apt,309,1,1,2021-06-20,1,1,19
50334541,Central located apartment in Stockholm,190223581,Clara,,Södermalms,59.31611,18.05963,Entire home/apt,900,14,0,,,1,146
50341293,Arsty and cozy Apt in highly popular Södermalm,60382478,Elias,,Södermalms,59.3117,18.07124,Entire home/apt,1132,3,3,2021-06-20,3,40,29
50341361,"Top floor, spacious, bright. Heart of Södermalm!",403207749,Ll,,Södermalms,59.31223,18.07073,Entire home/apt,914,2,0,,,1,330
50343008,Lovely studio apartment in center of Stockholm,21228650,Shahan,,Kungsholmens,59.33471,18.04042,Entire home/apt,736,7,0,,,1,330
50346995,Cozy room with balcony,276456228,Frank,,Hässelby-Vällingby,59.36654,17.83693,Private room,500,2,0,,,1,295
50351909,Boende med utsikt i Hammarbyhöjden,157237268,Julia,,Skarpnäcks,59.29902,18.09026,Entire home/apt,650,7,0,,,1,347
50353398,"Apartment in Hammarby Sjöstad, 20min fr Sthlm C",83715334,Amanda,,Södermalms,59.30676,18.11118,Entire home/apt,564,2,1,2021-07-16,1,1,0
50361572,Cozy city apartment in heart of Södermalm,378998653,City Living,,Södermalms,59.31675,18.06454,Entire home/apt,954,2,1,2021-07-18,1,1,325
50362614,"Beautiful central 2,5 room apt",6592625,Sanna,,Östermalms,59.34187,18.07524,Entire home/apt,835,3,2,2021-06-21,1.76,2,5
50363392,"Centrally located, close to public transportation",31458213,Emma,,Kungsholmens,59.3317,18.02787,Private room,350,5,0,,,2,90
50372506,Cosiest apartment in stockholm,6161370,Patrick,,Östermalms,59.3493,18.06292,Entire home/apt,800,3,0,,,1,293
50372999,Peaceful 2 room apartment near Odenplan,406884079,Oliver,,Norrmalms,59.34652,18.05074,Entire home/apt,989,2,0,,,1,7
50373992,Studio i charmiga och trendiga Hornstull,9868091,Terese,,Södermalms,59.31864,18.03162,Entire home/apt,1500,4,0,,,1,362
50374351,Sommarlägenhet med bra läge,97865069,Josefin,,Kungsholmens,59.32271,18.00562,Entire home/apt,500,4,0,,,1,3
50376823,Söders puls,147324447,Conny,,Södermalms,59.30662,18.068,Entire home/apt,799,3,1,2021-07-05,1,1,35
50386668,Roof top apartment with terrace,59122226,Tove,,Norrmalms,59.34944,18.04945,Entire home/apt,1500,5,1,2021-06-28,1,1,0
50387848,cozy apartment ground floor centre Södermalm.,407045180,Jean & Cecilia,,Södermalms,59.30914,18.06844,Entire home/apt,790,1,1,2021-07-11,1,1,357
50393217,Rum med dubbelsäng i lugnt område nära Södermalm,302575346,Lennart,,Skarpnäcks,59.29308,18.10662,Private room,400,2,0,,,1,48
50396545,Etage lägenhet med närhet till city och natur,6891916,Maria,,Enskede-Årsta-Vantörs,59.28975,18.09191,Entire home/apt,1500,1,0,,,1,301
50403526,"Stockholm Apartment, Skärmarbrink",311778372,Pontus,,Skarpnäcks,59.29594,18.09114,Entire home/apt,838,2,3,2021-07-16,3,12,163
50403616,"Stockholm Apartment, Skärmarbrink",311778372,Pontus,,Skarpnäcks,59.29618,18.09286,Entire home/apt,895,2,2,2021-07-02,2,12,169
50406305,Sommarsemester i Stockholm. Radhus med pool+ bastu,68778645,David,,Skärholmens,59.2911,17.92518,Entire home/apt,1900,5,0,,,1,49
50406379,Architectural Studio Apartment in SOFO,407221434,Fanny,,Södermalms,59.31017105027851,18.084577830209685,Entire home/apt,923,2,1,2021-07-14,1,1,38
50408462,Central lägenhet nära Djurgården och alla museer.,407236661,Christer,,Östermalms,59.33644,18.08898,Entire home/apt,900,1,1,2021-07-14,1,2,179
50410174,Gästlägenhet med Bastu,407248602,Brf,,Hägersten-Liljeholmens,59.28784,17.9689,Entire home/apt,450,2,0,,,1,176
50411025,Apartment 5 min walk from Globen and Tele2arena,151800647,Besa,,Enskede-Årsta-Vantörs,59.29277,18.08851,Entire home/apt,900,1,1,2021-07-12,1,1,39
50411261,Fin lägenhet mitt i city,304027875,Gustavo,,Norrmalms,59.33711,18.06221,Entire home/apt,2500,7,0,,,1,365
50411361,Cozy and peaceful apartment close to Slussen,38110514,Linnea,,Södermalms,59.31833,18.07343,Entire home/apt,803,3,0,,,1,0
50411554,Cozy apartment in the best Stockholm area,127924180,Lili,,Södermalms,59.31245,18.08429,Entire home/apt,650,2,3,2021-07-03,3,1,200
50411557,Södermalm familyfriendly 3BR penthouse w sea view,1976768,Mohamed,,Södermalms,59.30888,18.04911,Entire home/apt,1500,3,0,,,1,5
50411685,Eget rum ett stenkast från karlaplan.,407236661,Christer,,Östermalms,59.33506,18.08734,Private room,600,14,0,,,2,281
50419456,Mysigt gavelradhus med nackareservatet som granne,3172230,Erik,,Skarpnäcks,59.27342,18.14774,Entire home/apt,1200,4,1,2021-06-27,1,1,5
50425946,Cozy row house located near nature and city,9106667,Jessica,,Farsta,59.23394,18.0924,Entire home/apt,1000,5,0,,,1,67
50429706,"Cozy apartment in Skanstull, Södermalm",44196475,Filip,,Södermalms,59.30806,18.06822,Entire home/apt,900,2,0,,,1,181
50448579,Stor lyxig 2:a med öppna sällskapsytor,35258980,Victoria,,Norrmalms,59.3479,18.05125,Entire home/apt,950,1,2,2021-07-18,2,1,2
50463833,"Spacious room centrally located, next to metro.",31458213,Emma,,Kungsholmens,59.33344,18.02938,Private room,350,5,0,,,2,90
50464554,"5 min to pool, cultur, city but in middle of natur",6496244,Annelie,,Östermalms,59.33688,18.09998,Entire home/apt,1650,4,0,,,1,0
50472360,Two room apt 15 min from Stockholm City,407769640,Marcus,,Bromma,59.3594,17.95529,Entire home/apt,590,1,0,,,1,309
50473798,Barnvänligt boende nära City,365107413,Anna,,Enskede-Årsta-Vantörs,59.28509,18.0782,Private room,650,2,0,,,4,313
50496849,Beautiful apartment,45509095,Astewaye,,Enskede-Årsta-Vantörs,59.27132,18.03728,Entire home/apt,1100,2,0,,,1,48
50497718,Studiolägenhet mitt i Sofo Södermalm,407962080,Carola,,Södermalms,59.31601,18.08724,Private room,700,1,0,,,1,365
50509986,Fin lägenhet nära natur,189157097,Gloria,,Bromma,59.33972,17.88037,Private room,300,1,2,2021-07-10,2,2,254
50513274,"70 sqm central, NEW!",16089720,Andreas,,Norrmalms,59.34683,18.03357,Entire home/apt,984,7,0,,,1,11
50516157,In the center of Södermalm,33036889,Sofie,,Södermalms,59.31128,18.07495,Entire home/apt,600,4,0,,,1,3
50516536,Cozy studio in the middle of leafy Södermalm,47080101,Pedro,,Södermalms,59.31086,18.06499,Entire home/apt,769,14,0,,,1,335
50522423,Familjevänlig villa med stor tomt nära City,365107413,Anna,,Enskede-Årsta-Vantörs,59.28364,18.08009,Entire home/apt,1650,2,1,2021-07-09,1,4,218
50523651,Cozy 45 m2 apartment with balcony near city centre,408202708,Emma,,Kungsholmens,59.32417,18.00466,Entire home/apt,1000,22,0,,,1,42
50539580,Bright open apartment in trendy area,39515436,Sandra,,Hägersten-Liljeholmens,59.30191548405985,18.012512169440264,Entire home/apt,855,6,0,,,1,18
50540738,Bright 2 bedroom apartment - Hammarbyhöjden,3509992,Emma,,Skarpnäcks,59.29474,18.1044,Entire home/apt,600,5,0,,,1,212
50540782,SOFO Scandinavian 2 BR Flat in Top location,60382478,Elias,,Södermalms,59.31358,18.08378,Entire home/apt,1363,9,0,,,40,4
50545880,3-room apartment with sea view in Liljeholmskajen,31157157,Isa,,Hägersten-Liljeholmens,59.3059,18.03228,Entire home/apt,990,4,0,,,1,4
50553514,"Fin central lägenhet, 5 min utanför tullarna.",408463379,Jonas,,Hägersten-Liljeholmens,59.29584,17.99741,Entire home/apt,2000,1,0,,,1,365
50570614,Trivsam lägenhet mitt på Östermalm,237560857,Åsa-Marie,,Östermalms,59.33756,18.08443,Private room,600,1,0,,,2,181
50572411,"Lounge med sovalkov, öppen spis, balkong",237560857,Åsa-Marie,,Östermalms,59.33565,18.08483,Private room,800,1,0,,,2,180
50583402,Cozy big apartment very central,42287885,Emil,,Norrmalms,59.34154,18.03581,Entire home/apt,1260,1,0,,,1,221
50584892,Small apartment at best location in Stockholm,36254078,Jonathan,,Östermalms,59.342297,18.081581,Entire home/apt,800,5,0,,,1,58
50585992,Fint & bekvämt boende med närhet till allt.,282372991,Michael,,Södermalms,59.31305,18.05475,Entire home/apt,1499,4,0,,,1,233
50586244,Fin Lägenhet i Bromma,408707441,Manu,,Bromma,59.36284,17.94986,Entire home/apt,600,2,0,,,1,299
50595470,Private room in Akalla center near metro station,127098781,Hussam,,Rinkeby-Tensta,59.41562,17.91531,Private room,350,1,0,,,1,70
50595999,Sparkling modern house in Kista - close to city,408793531,Bhavesh,,Rinkeby-Tensta,59.41356563926492,17.90258075313414,Entire home/apt,1041,2,0,,,1,327
50609821,"Lägenhet i Vasastan uthyres 2-3 månader, omöblerad",114786751,Rebecca,,Norrmalms,59.34303,18.03103,Entire home/apt,8500,1,0,,,1,365
50611513,Top Located Studio for perfect Summer holidays,60382478,Elias,,Södermalms,59.31361,18.07598,Entire home/apt,952,4,0,,,40,25
50642841,Amazing & stylish apartment in the heart of Söder!,181531774,Robert,,Södermalms,59.31492,18.07806,Entire home/apt,1200,3,1,2021-07-19,1,2,0
50646479,Close by south side City area is this jem Aspudden,14901492,Katrin,,Hägersten-Liljeholmens,59.30754,17.99852,Entire home/apt,700,1,0,,,2,8
50649937,Cosy flat on Kungsholmen close to subway,1140940,Lovisa,,Kungsholmens,59.33639895364068,17.999697986559884,Entire home/apt,695,4,0,,,1,282
50669021,Lovely 2-bedrooms apartment in Älvsjö,388058268,Mohamad,,Älvsjö,59.28565760844951,18.014842944259367,Entire home/apt,600,3,0,,,1,210
50670536,Mini suite Sandsborg,65225221,Eva,,Enskede-Årsta-Vantörs,59.28477,18.09124,Private room,496,2,1,2021-07-16,1,4,50
50670891,Ett rum och kök med fransk balkong i Hägersten.,69315493,Alexandra,,Älvsjö,59.28764,17.99887,Entire home/apt,725,3,0,,,1,245
50674970,"Calm and spacious 3,5-room Södermalm apartment",78136656,Michel,,Södermalms,59.31678,18.05402,Entire home/apt,1350,5,0,,,1,9
50688705,Fin vindsvåning med grillplats.,409617252,Bidisha,,Bromma,59.359813269763215,17.94876053153424,Entire home/apt,800,2,0,,,1,365
50694642,Cosy apartment very close to the city center,25177995,Emma,,Kungsholmens,59.32985,18.04761,Entire home/apt,750,3,0,,,1,221
50700373,Nära Bromma Blocks och mall of Scandinavia,124082344,Magnus,,Spånga-Tensta,59.36728,17.91541,Entire home/apt,800,1,0,,,1,339
50700551,Perfekt living at attractive address in Stockholm,353962649,Pia,,Södermalms,59.308347072663636,18.078584309609248,Entire home/apt,489,7,1,2021-07-19,1,1,0
50706044,3:a Östermalm med uteplats,346631852,Ida,,Östermalms,59.34796,18.06462,Entire home/apt,1000,1,0,,,1,17
50714072,Charming  2BR Apartment with Balcony in Södermalm,60382478,Elias,,Södermalms,59.31943,18.03809,Entire home/apt,1500,3,0,,,40,1
